"data","dt_evoluca","sg_uf","n"
"1",2020-04-25,"MA",31
"1",2020-04-25,"MG",4
"1",2020-04-25,"MS",1
"1",2020-04-25,"PA",87
"1",2020-04-25,"PB",2
"1",2020-04-25,"PE",54
"1",2020-04-25,"PI",2
"1",2020-04-25,"PR",3
"1",2020-04-25,"RJ",199
"1",2020-04-25,"RN",5
"1",2020-04-25,"RO",2
"1",2020-04-25,"RR",1
"1",2020-04-25,"RS",2
"1",2020-04-25,"SP",122
"1",2020-04-26,"AC",2
"1",2020-04-26,"AL",2
"1",2020-04-26,"AM",54
"1",2020-04-26,"BA",7
"1",2020-04-26,"CE",52
"1",2020-04-26,"DF",1
"1",2020-04-26,"ES",7
"1",2020-04-26,"GO",1
"1",2020-04-26,"MA",29
"1",2020-04-26,"MG",5
"1",2020-04-26,"PA",62
"1",2020-04-26,"PB",3
"1",2020-04-26,"PE",66
"1",2020-04-26,"PR",2
"1",2020-04-26,"RJ",202
"1",2020-04-26,"RS",9
"1",2020-04-26,"SE",1
"1",2020-04-26,"SP",142
"1",2020-04-27,"AC",4
"1",2020-04-27,"AL",2
"1",2020-04-27,"AM",62
"1",2020-04-27,"AP",4
"1",2020-04-27,"BA",9
"1",2020-04-27,"CE",51
"1",2020-04-27,"ES",9
"1",2020-04-27,"MA",42
"1",2020-04-27,"MG",4
"1",2020-04-27,"MT",1
"1",2020-04-27,"PA",79
"1",2020-04-27,"PB",4
"1",2020-04-27,"PE",63
"1",2020-04-27,"PI",1
"1",2020-04-27,"PR",4
"1",2020-04-27,"RJ",176
"1",2020-04-27,"RN",3
"1",2020-04-27,"RO",3
"1",2020-04-27,"RR",2
"1",2020-04-27,"RS",2
"1",2020-04-27,"SP",146
"1",2020-04-28,"AC",2
"1",2020-04-28,"AL",13
"1",2020-04-28,"AM",67
"1",2020-04-28,"AP",2
"1",2020-04-28,"BA",8
"1",2020-04-28,"CE",59
"1",2020-04-28,"ES",9
"1",2020-04-28,"GO",2
"1",2020-04-28,"MA",46
"1",2020-04-28,"MG",3
"1",2020-04-28,"PA",77
"1",2020-04-28,"PB",4
"1",2020-04-28,"PE",48
"1",2020-04-28,"PI",4
"1",2020-04-28,"PR",8
"1",2020-04-28,"RJ",229
"1",2020-04-28,"RN",4
"1",2020-04-28,"RO",1
"1",2020-04-28,"RR",1
"1",2020-04-28,"RS",5
"1",2020-04-28,"SC",1
"1",2020-04-28,"SE",1
"1",2020-04-28,"SP",147
"1",2020-04-28,"TO",1
"1",2020-04-29,"AC",2
"1",2020-04-29,"AL",5
"1",2020-04-29,"AM",64
"1",2020-04-29,"AP",4
"1",2020-04-29,"BA",9
"1",2020-04-29,"CE",58
"1",2020-04-29,"DF",2
"1",2020-04-29,"ES",10
"1",2020-04-29,"GO",2
"1",2020-04-29,"MA",36
"1",2020-04-29,"MG",8
"1",2020-04-29,"PA",85
"1",2020-04-29,"PB",6
"1",2020-04-29,"PE",57
"1",2020-04-29,"PI",1
"1",2020-04-29,"PR",4
"1",2020-04-29,"RJ",243
"1",2020-04-29,"RN",3
"1",2020-04-29,"RO",3
"1",2020-04-29,"RS",3
"1",2020-04-29,"SC",3
"1",2020-04-29,"SP",158
"1",2020-04-29,"TO",1
"1",2020-04-30,"AC",2
"1",2020-04-30,"AL",8
"1",2020-04-30,"AM",57
"1",2020-04-30,"AP",3
"1",2020-04-30,"BA",12
"1",2020-04-30,"CE",83
"1",2020-04-30,"DF",1
"1",2020-04-30,"ES",3
"1",2020-04-30,"GO",5
"1",2020-04-30,"MA",47
"1",2020-04-30,"MG",1
"1",2020-04-30,"PA",81
"1",2020-04-30,"PB",5
"1",2020-04-30,"PE",67
"1",2020-04-30,"PR",1
"1",2020-04-30,"RJ",244
"1",2020-04-30,"RN",1
"1",2020-04-30,"RS",6
"1",2020-04-30,"SC",4
"1",2020-04-30,"SP",142
"1",2020-04-30,"TO",1
"1",2020-05-01,"AC",1
"1",2020-05-01,"AL",8
