Date,R. Vergueiro Bicicleta Centro,R. Vergueiro Bicicleta Bairro
30 de setembro de 2017,878,838
1 de outubro de 2017,697,671
2 de outubro de 2017,783,812
3 de outubro de 2017,1118,1061
4 de outubro de 2017,1030,1041
5 de outubro de 2017,860,823
6 de outubro de 2017,224,239
7 de outubro de 2017,701,583
8 de outubro de 2017,1007,966
9 de outubro de 2017,1008,864
10 de outubro de 2017,821,797
11 de outubro de 2017,678,620
12 de outubro de 2017,667,636
13 de outubro de 2017,584,613
14 de outubro de 2017,508,485
15 de outubro de 2017,851,813
16 de outubro de 2017,1075,1011
17 de outubro de 2017,1129,1022
18 de outubro de 2017,1059,1002
19 de outubro de 2017,802,760
20 de outubro de 2017,635,613
21 de outubro de 2017,241,265
22 de outubro de 2017,548,574
23 de outubro de 2017,955,857
24 de outubro de 2017,926,900
25 de outubro de 2017,606,576
26 de outubro de 2017,606,535
27 de outubro de 2017,784,699
28 de outubro de 2017,688,596
29 de outubro de 2017,677,639
30 de outubro de 2017,886,869
31 de outubro de 2017,809,774
1 de novembro de 2017,903,841
2 de novembro de 2017,728,741
3 de novembro de 2017,671,676
4 de novembro de 2017,1394,1488
5 de novembro de 2017,636,636
6 de novembro de 2017,896,842
7 de novembro de 2017,857,865
8 de novembro de 2017,745,712
9 de novembro de 2017,826,798
10 de novembro de 2017,561,556
11 de novembro de 2017,3231,2927
12 de novembro de 2017,975,922
13 de novembro de 2017,1022,979
14 de novembro de 2017,989,858
15 de novembro de 2017,844,823
16 de novembro de 2017,540,505
17 de novembro de 2017,633,598
18 de novembro de 2017,460,457
19 de novembro de 2017,934,960
20 de novembro de 2017,619,577
21 de novembro de 2017,571,581
22 de novembro de 2017,849,804
23 de novembro de 2017,932,802
24 de novembro de 2017,798,761
25 de novembro de 2017,667,764
26 de novembro de 2017,440,418
27 de novembro de 2017,999,910
28 de novembro de 2017,1001,990
29 de novembro de 2017,871,838
30 de novembro de 2017,733,677
1 de dezembro de 2017,677,615
2 de dezembro de 2017,771,718
3 de dezembro de 2017,893,857
4 de dezembro de 2017,999,898
5 de dezembro de 2017,982,933
6 de dezembro de 2017,736,699
7 de dezembro de 2017,579,518
8 de dezembro de 2017,765,755
9 de dezembro de 2017,822,670
10 de dezembro de 2017,754,768
11 de dezembro de 2017,840,760
12 de dezembro de 2017,852,851
13 de dezembro de 2017,920,899
14 de dezembro de 2017,868,810
15 de dezembro de 2017,684,568
16 de dezembro de 2017,823,792
17 de dezembro de 2017,817,752
18 de dezembro de 2017,906,904
19 de dezembro de 2017,690,640
20 de dezembro de 2017,375,360
21 de dezembro de 2017,516,494
22 de dezembro de 2017,636,571
23 de dezembro de 2017,472,424
24 de dezembro de 2017,482,496
25 de dezembro de 2017,492,461
26 de dezembro de 2017,712,705
27 de dezembro de 2017,500,476
28 de dezembro de 2017,360,357
29 de dezembro de 2017,424,406
30 de dezembro de 2017,513,493
31 de dezembro de 2017,755,801
1 de janeiro de 2018,626,593
2 de janeiro de 2018,414,350
3 de janeiro de 2018,945,1029
4 de janeiro de 2018,802,776
5 de janeiro de 2018,714,700
6 de janeiro de 2018,230,213
7 de janeiro de 2018,230,225
8 de janeiro de 2018,664,680
9 de janeiro de 2018,760,737
10 de janeiro de 2018,843,753
11 de janeiro de 2018,769,739
12 de janeiro de 2018,634,618
13 de janeiro de 2018,875,793
14 de janeiro de 2018,984,918
15 de janeiro de 2018,825,789
16 de janeiro de 2018,937,881
17 de janeiro de 2018,1262,1284
18 de janeiro de 2018,816,759
19 de janeiro de 2018,679,659
20 de janeiro de 2018,868,807
21 de janeiro de 2018,890,818
