"data";"tot.pass";"est.pagantes";"est.grat";"tot.grat";"semana";"semana.num";"semana.dia1";"ano";"estudantes";"grat.no.est"
2019-05-14;9077803;265028;915869;1401594;"2019-W20";20;2019-05-12;"2019";1180897;485725
2019-05-15;8830843;248335;734366;1411853;"2019-W20";20;2019-05-12;"2019";982701;677487
2019-05-16;8786528;257279;891653;1273701;"2019-W20";20;2019-05-12;"2019";1148932;382048
2019-05-17;8718013;238723;854617;1289737;"2019-W20";20;2019-05-12;"2019";1093340;435120
2019-05-18;4982168;88856;403371;789591;"2019-W20";20;2019-05-12;"2019";492227;386220
2019-05-19;2896428;46070;232014;552129;"2019-W21";21;2019-05-19;"2019";278084;320115
2019-05-20;8902574;255537;917204;1379908;"2019-W21";21;2019-05-19;"2019";1172741;462704
2019-05-21;9049583;259488;930270;1393960;"2019-W21";21;2019-05-19;"2019";1189758;463690
2019-05-22;8815368;248019;888238;1370058;"2019-W21";21;2019-05-19;"2019";1136257;481820
2019-05-23;9074447;254619;913023;1379553;"2019-W21";21;2019-05-19;"2019";1167642;466530
2019-05-24;8724711;230419;839832;1294649;"2019-W21";21;2019-05-19;"2019";1070251;454817
2019-05-25;5221562;89813;404971;867879;"2019-W21";21;2019-05-19;"2019";494784;462908
2019-05-26;2894538;41120;201675;567952;"2019-W22";22;2019-05-26;"2019";242795;366277
2019-05-27;8274316;222904;777234;1291023;"2019-W22";22;2019-05-26;"2019";1000138;513789
2019-05-28;8988011;236497;822347;1413353;"2019-W22";22;2019-05-26;"2019";1058844;591006
2019-05-29;8801109;223998;762690;1382022;"2019-W22";22;2019-05-26;"2019";986688;619332
2019-05-30;8594436;203955;680194;1329095;"2019-W22";22;2019-05-26;"2019";884149;648901
2019-05-31;7934485;174062;592063;1241518;"2019-W22";22;2019-05-26;"2019";766125;649455
2019-06-01;5188849;78247;385253;859514;"2019-W22";22;2019-05-26;"2019";463500;474261
2019-06-02;2557580;31947;181905;473214;"2019-W23";23;2019-06-02;"2019";213852;291309
2019-06-03;8326188;211874;810194;1256040;"2019-W23";23;2019-06-02;"2019";1022068;445846
2019-06-04;8977769;239786;917788;1417932;"2019-W23";23;2019-06-02;"2019";1157574;500144
2019-06-05;8879158;238928;900677;1384558;"2019-W23";23;2019-06-02;"2019";1139605;483881
2019-06-06;8925177;241799;816922;1406156;"2019-W23";23;2019-06-02;"2019";1058721;589234
2019-06-07;8863135;225009;800785;1430827;"2019-W23";23;2019-06-02;"2019";1025794;630042
