Date,Pinheiros,Ibirapuera
23 de agosto de 2017,1505,1309
24 de agosto de 2017,1431,1255
25 de agosto de 2017,1146,1075
26 de agosto de 2017,2287,2126
27 de agosto de 2017,1624,1479
28 de agosto de 2017,1775,1531
29 de agosto de 2017,1776,1556
30 de agosto de 2017,1219,1157
31 de agosto de 2017,1363,1267
1 de setembro de 2017,1128,1042
2 de setembro de 2017,2472,2190
3 de setembro de 2017,1610,1442
4 de setembro de 2017,1674,1466
5 de setembro de 2017,1608,1377
6 de setembro de 2017,1925,1774
7 de setembro de 2017,991,891
8 de setembro de 2017,975,902
9 de setembro de 2017,2041,1840
10 de setembro de 2017,1610,1492
11 de setembro de 2017,1721,1545
12 de setembro de 2017,1674,1521
13 de setembro de 2017,1662,1523
14 de setembro de 2017,1578,1404
15 de setembro de 2017,1203,1090
16 de setembro de 2017,2325,2062
17 de setembro de 2017,1548,1470
18 de setembro de 2017,1689,1564
19 de setembro de 2017,1723,1521
20 de setembro de 2017,1629,1501
21 de setembro de 2017,1568,1410
22 de setembro de 2017,1162,1063
23 de setembro de 2017,1964,1729
24 de setembro de 2017,1566,1426
25 de setembro de 2017,1713,1597
26 de setembro de 2017,1705,1581
27 de setembro de 2017,1369,1335
28 de setembro de 2017,1116,1037
29 de setembro de 2017,452,364
30 de setembro de 2017,1877,1800
1 de outubro de 2017,1240,1042
2 de outubro de 2017,1228,1051
3 de outubro de 2017,1739,1552
4 de outubro de 2017,1721,1553
5 de outubro de 2017,1543,1391
6 de outubro de 2017,223,214
7 de outubro de 2017,1471,1332
8 de outubro de 2017,1676,1548
9 de outubro de 2017,1516,1418
10 de outubro de 2017,1508,1353
11 de outubro de 2017,1584,1472
12 de outubro de 2017,921,835
13 de outubro de 2017,838,796
14 de outubro de 2017,992,888
15 de outubro de 2017,1379,1259
16 de outubro de 2017,1637,1477
17 de outubro de 2017,1704,1575
18 de outubro de 2017,1784,1536
19 de outubro de 2017,1388,1326
20 de outubro de 2017,958,838
21 de outubro de 2017,633,566
22 de outubro de 2017,1116,925
23 de outubro de 2017,1426,1272
24 de outubro de 2017,1551,1410
25 de outubro de 2017,1095,958
26 de outubro de 2017,1012,902
27 de outubro de 2017,1081,967
28 de outubro de 2017,1522,1456
29 de outubro de 2017,1227,1169
30 de outubro de 2017,1425,1320
31 de outubro de 2017,1546,1407
1 de novembro de 2017,2092,1925
2 de novembro de 2017,1161,1086
3 de novembro de 2017,953,926
4 de novembro de 2017,802,782
5 de novembro de 2017,1145,981
6 de novembro de 2017,1668,1461
7 de novembro de 2017,1535,1386
8 de novembro de 2017,1300,1182
9 de novembro de 2017,1481,1356
10 de novembro de 2017,692,695
11 de novembro de 2017,2392,2312
12 de novembro de 2017,1719,1518
13 de novembro de 2017,1835,1614
14 de novembro de 2017,2285,2092
16 de novembro de 2017,992,889
17 de novembro de 2017,984,847
18 de novembro de 2017,1048,987
19 de novembro de 2017,1049,888
20 de novembro de 2017,1236,1096
21 de novembro de 2017,1224,1096
22 de novembro de 2017,1514,1397
23 de novembro de 2017,1561,1402
24 de novembro de 2017,1252,1178
25 de novembro de 2017,1669,1620
26 de novembro de 2017,928,766
27 de novembro de 2017,1594,1530
28 de novembro de 2017,1796,1641
29 de novembro de 2017,1602,1416
30 de novembro de 2017,1414,1289
1 de dezembro de 2017,896,833
2 de dezembro de 2017,1857,1800
3 de dezembro de 2017,1645,1488
4 de dezembro de 2017,1873,1686
5 de dezembro de 2017,1777,1580
6 de dezembro de 2017,1455,1326
7 de dezembro de 2017,1290,1150
8 de dezembro de 2017,1046,958
9 de dezembro de 2017,2157,1882
10 de dezembro de 2017,1530,1336
11 de dezembro de 2017,1579,1463
12 de dezembro de 2017,1670,1521
13 de dezembro de 2017,1758,1538
14 de dezembro de 2017,1591,1398
15 de dezembro de 2017,908,849
16 de dezembro de 2017,1912,1760
17 de dezembro de 2017,1434,1365
18 de dezembro de 2017,1600,1435
19 de dezembro de 2017,1297,1202
20 de dezembro de 2017,654,542
21 de dezembro de 2017,932,764
22 de dezembro de 2017,926,820
23 de dezembro de 2017,1150,1045
24 de dezembro de 2017,501,443
25 de dezembro de 2017,796,679
26 de dezembro de 2017,991,859
27 de dezembro de 2017,565,498
28 de dezembro de 2017,348,336
29 de dezembro de 2017,419,381
30 de dezembro de 2017,485,415
31 de dezembro de 2017,742,645
1 de janeiro de 2018,828,747
2 de janeiro de 2018,658,611
3 de janeiro de 2018,1373,1241
4 de janeiro de 2018,1218,1060
5 de janeiro de 2018,985,943
6 de janeiro de 2018,463,486
7 de janeiro de 2018,379,357
8 de janeiro de 2018,1085,942
9 de janeiro de 2018,1396,1279
10 de janeiro de 2018,1348,1257
11 de janeiro de 2018,1344,1177
12 de janeiro de 2018,736,682
13 de janeiro de 2018,2172,1946
14 de janeiro de 2018,1569,1381
15 de janeiro de 2018,1526,1402
16 de janeiro de 2018,1638,1457
17 de janeiro de 2018,1800,1507
18 de janeiro de 2018,1432,1235
19 de janeiro de 2018,1089,1022
20 de janeiro de 2018,2320,2033
21 de janeiro de 2018,1493,1338
22 de janeiro de 2018,1650,1436
23 de janeiro de 2018,1561,1391
24 de janeiro de 2018,1801,1623
25 de janeiro de 2018,843,755
26 de janeiro de 2018,938,866
27 de janeiro de 2018,2312,2185
28 de janeiro de 2018,1320,1210
29 de janeiro de 2018,1012,896
30 de janeiro de 2018,1804,1607
31 de janeiro de 2018,1896,1722
1 de fevereiro de 2018,1734,1530
2 de fevereiro de 2018,701,559
3 de fevereiro de 2018,1593,1248
4 de fevereiro de 2018,1732,1556
5 de fevereiro de 2018,1814,1626
6 de fevereiro de 2018,2015,1846
7 de fevereiro de 2018,1970,1739
8 de fevereiro de 2018,1821,1625
9 de fevereiro de 2018,521,416
10 de fevereiro de 2018,1339,934
11 de fevereiro de 2018,850,625
12 de fevereiro de 2018,686,526
13 de fevereiro de 2018,683,704
14 de fevereiro de 2018,1351,1187
15 de fevereiro de 2018,1498,1366
16 de fevereiro de 2018,889,675
17 de fevereiro de 2018,1752,1311
18 de fevereiro de 2018,1915,1703
